t_sec,id1_shoulder_pan[mA],id2_shoulder_lift[mA],id3_elbow_flex[mA],id4_wrist_flex[mA],id5_wrist_roll[mA],id6_gripper[mA]
4.048,0.0,0.0,0.0,0.0,0.0,0.0
4.069,0.0,0.0,0.0,0.0,0.0,0.0
4.09,0.0,0.0,0.0,0.0,0.0,0.0
4.111,0.0,0.0,0.0,0.0,0.0,0.0
4.131,0.0,0.0,0.0,0.0,0.0,0.0
4.169,0.0,0.0,0.0,0.0,0.0,0.0
4.19,0.0,0.0,0.0,0.0,0.0,0.0
4.211,0.0,0.0,0.0,0.0,0.0,0.0
4.232,0.0,0.0,0.0,0.0,0.0,0.0
4.266,0.0,0.0,0.0,0.0,0.0,0.0
4.286,0.0,0.0,0.0,0.0,0.0,0.0
4.307,0.0,0.0,0.0,0.0,0.0,0.0
4.328,0.0,0.0,0.0,0.0,0.0,0.0
4.349,0.0,0.0,0.0,0.0,0.0,0.0
4.381,0.0,0.0,0.0,0.0,0.0,0.0
4.402,0.0,0.0,0.0,0.0,0.0,0.0
4.423,0.0,0.0,0.0,0.0,0.0,0.0
4.444,0.0,0.0,0.0,0.0,0.0,0.0
4.465,0.0,0.0,0.0,0.0,0.0,0.0
4.505,0.0,0.0,0.0,0.0,0.0,0.0
4.526,0.0,0.0,0.0,0.0,0.0,0.0
4.547,0.0,0.0,0.0,0.0,0.0,0.0
4.568,0.0,0.0,0.0,0.0,0.0,0.0
4.589,0.0,0.0,0.0,0.0,0.0,0.0
4.61,0.0,0.0,0.0,0.0,0.0,0.0
4.631,0.0,0.0,0.0,0.0,0.0,0.0
4.652,0.0,0.0,0.0,0.0,0.0,0.0
4.673,0.0,0.0,0.0,0.0,0.0,0.0
4.72,0.0,0.0,0.0,0.0,0.0,0.0
4.741,0.0,0.0,0.0,0.0,0.0,0.0
4.762,0.0,0.0,0.0,0.0,0.0,0.0
4.783,0.0,0.0,0.0,0.0,0.0,0.0
4.814,0.0,0.0,0.0,0.0,0.0,0.0
4.835,0.0,0.0,0.0,0.0,0.0,0.0
4.856,0.0,0.0,0.0,0.0,0.0,0.0
4.877,0.0,0.0,0.0,0.0,0.0,0.0
4.898,0.0,0.0,0.0,0.0,0.0,0.0
4.937,0.0,0.0,0.0,0.0,0.0,0.0
4.958,0.0,0.0,0.0,0.0,0.0,0.0
4.979,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0
5.034,0.0,0.0,0.0,0.0,0.0,0.0
5.055,0.0,0.0,0.0,0.0,0.0,0.0
5.076,0.0,0.0,0.0,0.0,0.0,0.0
5.097,0.0,0.0,0.0,0.0,0.0,0.0
5.118,0.0,0.0,0.0,0.0,0.0,0.0
5.155,0.0,0.0,0.0,0.0,0.0,0.0
5.176,0.0,0.0,0.0,0.0,0.0,0.0
5.197,0.0,0.0,0.0,0.0,0.0,0.0
5.217,0.0,0.0,0.0,0.0,0.0,0.0
5.238,0.0,0.0,0.0,0.0,0.0,0.0
5.272,0.0,0.0,0.0,0.0,0.0,0.0
5.293,0.0,0.0,0.0,0.0,0.0,0.0
5.314,0.0,0.0,0.0,0.0,0.0,0.0
5.335,0.0,0.0,0.0,0.0,0.0,0.0
5.356,0.0,0.0,0.0,0.0,0.0,0.0
5.391,0.0,0.0,0.0,0.0,0.0,0.0
5.412,0.0,0.0,0.0,0.0,0.0,0.0
5.433,0.0,0.0,0.0,0.0,0.0,0.0
5.454,0.0,0.0,0.0,0.0,0.0,0.0
5.475,0.0,0.0,0.0,0.0,0.0,0.0
5.51,0.0,0.0,0.0,0.0,0.0,0.0
5.531,0.0,0.0,0.0,0.0,0.0,0.0
5.552,0.0,0.0,0.0,0.0,0.0,0.0
5.573,0.0,0.0,0.0,0.0,0.0,0.0
5.594,0.0,0.0,0.0,0.0,0.0,0.0
5.63,0.0,0.0,0.0,0.0,0.0,0.0
5.65,0.0,0.0,0.0,0.0,0.0,0.0
5.671,0.0,0.0,0.0,0.0,0.0,0.0
5.692,0.0,0.0,0.0,0.0,0.0,0.0
5.713,0.0,0.0,0.0,0.0,0.0,0.0
5.751,0.0,0.0,0.0,0.0,0.0,0.0
5.772,0.0,0.0,0.0,0.0,0.0,0.0
5.793,0.0,0.0,0.0,0.0,0.0,0.0
5.815,0.0,0.0,0.0,0.0,0.0,0.0
5.849,0.0,0.0,0.0,0.0,0.0,0.0
5.87,0.0,0.0,0.0,0.0,0.0,0.0
5.891,0.0,0.0,0.0,0.0,0.0,0.0
5.912,0.0,0.0,0.0,0.0,0.0,0.0
5.932,0.0,0.0,0.0,0.0,0.0,0.0
5.953,0.0,0.0,0.0,0.0,0.0,0.0
5.974,0.0,0.0,0.0,0.0,0.0,0.0
5.995,0.0,0.0,0.0,0.0,0.0,0.0
6.016,0.0,0.0,0.0,0.0,0.0,0.0
6.037,0.0,0.0,0.0,0.0,0.0,0.0
6.085,0.0,0.0,0.0,0.0,0.0,0.0
6.106,0.0,0.0,0.0,0.0,0.0,0.0
6.127,0.0,0.0,0.0,0.0,0.0,0.0
6.148,0.0,0.0,0.0,0.0,0.0,0.0
6.183,0.0,0.0,0.0,0.0,0.0,0.0
6.204,0.0,0.0,0.0,0.0,0.0,0.0
6.225,0.0,0.0,0.0,0.0,0.0,0.0
6.246,0.0,0.0,0.0,0.0,0.0,0.0
6.267,0.0,0.0,0.0,0.0,0.0,0.0
6.301,0.0,0.0,0.0,0.0,0.0,0.0
6.322,0.0,0.0,0.0,0.0,0.0,0.0
6.343,0.0,0.0,0.0,0.0,0.0,0.0
6.364,0.0,0.0,0.0,0.0,0.0,0.0
6.385,0.0,0.0,0.0,0.0,0.0,0.0
6.419,0.0,0.0,0.0,0.0,0.0,0.0
6.44,0.0,0.0,0.0,0.0,0.0,0.0
6.461,0.0,0.0,0.0,0.0,0.0,0.0
6.482,0.0,0.0,0.0,0.0,0.0,0.0
6.503,0.0,0.0,0.0,0.0,0.0,0.0
6.537,0.0,0.0,0.0,0.0,0.0,0.0
6.558,0.0,0.0,0.0,0.0,0.0,0.0
6.579,0.0,0.0,0.0,0.0,0.0,0.0
6.6,0.0,0.0,0.0,0.0,0.0,0.0
6.621,0.0,0.0,0.0,0.0,0.0,0.0
6.652,0.0,0.0,0.0,0.0,0.0,0.0
6.673,0.0,0.0,0.0,0.0,0.0,0.0
6.694,0.0,0.0,0.0,0.0,0.0,0.0
6.715,0.0,0.0,0.0,0.0,0.0,0.0
6.736,0.0,0.0,0.0,0.0,0.0,0.0
6.771,0.0,0.0,0.0,0.0,0.0,0.0
6.791,0.0,0.0,0.0,0.0,0.0,0.0
6.812,0.0,0.0,0.0,0.0,0.0,0.0
6.834,0.0,0.0,0.0,0.0,0.0,0.0
6.855,0.0,0.0,0.0,0.0,0.0,0.0
6.889,0.0,0.0,0.0,0.0,0.0,0.0
6.909,0.0,0.0,0.0,0.0,0.0,0.0
6.93,0.0,0.0,0.0,0.0,0.0,0.0
6.951,0.0,0.0,0.0,0.0,0.0,0.0
6.972,0.0,0.0,0.0,0.0,0.0,0.0
7.006,0.0,0.0,0.0,0.0,0.0,0.0
7.027,0.0,0.0,0.0,0.0,0.0,0.0
7.048,0.0,0.0,0.0,0.0,0.0,0.0
7.069,0.0,0.0,0.0,0.0,0.0,0.0
7.09,0.0,0.0,0.0,0.0,0.0,0.0
7.129,0.0,0.0,0.0,0.0,0.0,0.0
7.15,0.0,0.0,0.0,0.0,0.0,0.0
7.171,0.0,0.0,0.0,0.0,0.0,0.0
7.192,0.0,0.0,0.0,0.0,0.0,0.0
7.229,0.0,0.0,0.0,0.0,0.0,0.0
7.25,0.0,0.0,0.0,0.0,0.0,0.0
7.271,0.0,0.0,0.0,0.0,0.0,0.0
7.292,0.0,0.0,0.0,0.0,0.0,0.0
7.313,0.0,0.0,0.0,0.0,0.0,0.0
7.347,0.0,0.0,0.0,0.0,0.0,0.0
7.368,0.0,0.0,0.0,0.0,0.0,0.0
7.389,0.0,0.0,0.0,0.0,0.0,0.0
7.41,0.0,0.0,0.0,0.0,0.0,0.0
7.431,0.0,0.0,0.0,0.0,0.0,0.0
7.467,0.0,0.0,0.0,0.0,0.0,0.0
7.488,0.0,0.0,0.0,0.0,0.0,0.0
7.509,0.0,0.0,0.0,0.0,0.0,0.0
7.53,0.0,0.0,0.0,0.0,0.0,0.0
