t_sec,id1_shoulder_pan[%],id2_shoulder_lift[%],id3_elbow_flex[mA],id4_wrist_flex[mA],id5_wrist_roll[mA],id6_gripper[mA]
4.084,0.0,0.0,0.0,0.0,0.0,0.0
4.105,0.0,0.0,0.0,0.0,0.0,0.0
4.126,0.0,0.0,0.0,0.0,0.0,0.0
4.147,0.0,0.0,0.0,0.0,0.0,0.0
4.168,0.0,0.0,0.0,0.0,0.0,0.0
4.189,0.0,0.0,0.0,0.0,0.0,0.0
4.21,0.0,0.0,0.0,0.0,0.0,0.0
4.231,0.0,0.0,0.0,0.0,0.0,0.0
4.27,0.0,0.0,0.0,0.0,0.0,0.0
4.291,0.0,0.0,0.0,0.0,0.0,0.0
4.312,0.0,0.0,0.0,0.0,0.0,0.0
4.333,0.0,0.0,0.0,0.0,0.0,0.0
4.354,0.0,0.0,0.0,0.0,0.0,0.0
4.374,0.0,0.0,0.0,0.0,0.0,0.0
4.395,0.0,0.0,0.0,0.0,0.0,0.0
4.416,0.0,0.0,0.0,0.0,0.0,0.0
4.436,0.0,0.0,0.0,0.0,0.0,0.0
4.472,0.0,0.0,0.0,0.0,0.0,0.0
4.493,0.0,0.0,0.0,0.0,0.0,0.0
4.514,0.0,0.0,0.0,0.0,0.0,0.0
4.535,0.0,0.0,0.0,0.0,0.0,0.0
4.556,0.0,0.0,0.0,0.0,0.0,0.0
4.596,0.0,0.0,0.0,0.0,0.0,0.0
4.617,0.0,0.0,0.0,0.0,0.0,0.0
4.638,0.0,0.0,0.0,0.0,0.0,0.0
4.659,0.0,0.0,0.0,0.0,0.0,0.0
4.68,0.0,0.0,0.0,0.0,0.0,0.0
4.701,0.0,0.0,0.0,0.0,0.0,0.0
4.722,0.0,0.0,0.0,0.0,0.0,0.0
4.743,0.0,0.0,0.0,0.0,0.0,0.0
4.763,0.0,0.0,0.0,0.0,0.0,0.0
4.807,0.0,0.0,0.0,0.0,0.0,0.0
4.828,0.0,0.0,0.0,0.0,0.0,0.0
4.849,0.0,0.0,0.0,0.0,0.0,0.0
4.87,0.0,0.0,0.0,0.0,0.0,0.0
4.903,0.0,0.0,0.0,0.0,0.0,0.0
4.924,0.0,0.0,0.0,0.0,0.0,0.0
4.945,0.0,0.0,0.0,0.0,0.0,0.0
4.966,0.0,0.0,0.0,0.0,0.0,0.0
4.987,0.0,0.0,0.0,0.0,0.0,0.0
5.018,0.0,0.0,0.0,0.0,0.0,0.0
5.039,0.0,0.0,0.0,0.0,0.0,0.0
5.06,0.0,0.0,0.0,0.0,0.0,0.0
5.082,0.0,0.0,0.0,0.0,0.0,0.0
5.103,0.0,0.0,0.0,0.0,0.0,0.0
5.132,0.0,0.0,0.0,0.0,0.0,0.0
5.153,0.0,0.0,0.0,0.0,0.0,0.0
5.174,0.0,0.0,0.0,0.0,0.0,0.0
5.195,0.0,0.0,0.0,0.0,0.0,0.0
5.216,0.0,0.0,0.0,0.0,0.0,0.0
5.252,0.0,0.0,0.0,0.0,0.0,0.0
5.273,0.0,0.0,0.0,0.0,0.0,0.0
5.294,0.0,0.0,0.0,0.0,0.0,0.0
5.315,0.0,0.0,0.0,0.0,0.0,0.0
5.336,0.0,0.0,0.0,0.0,0.0,0.0
5.369,0.0,0.0,0.0,0.0,0.0,0.0
5.39,0.0,0.0,0.0,0.0,0.0,0.0
5.411,0.0,0.0,0.0,0.0,0.0,0.0
5.432,0.0,0.0,0.0,0.0,0.0,0.0
5.453,0.0,0.0,0.0,0.0,0.0,0.0
5.484,0.0,0.0,0.0,0.0,0.0,0.0
5.505,0.0,0.0,0.0,0.0,0.0,0.0
5.526,0.0,0.0,0.0,0.0,0.0,0.0
5.547,0.0,0.0,0.0,0.0,0.0,0.0
5.568,0.0,0.0,0.0,0.0,0.0,0.0
5.589,0.0,0.0,0.0,0.0,0.0,0.0
5.61,0.0,0.0,0.0,0.0,0.0,0.0
5.63,0.0,0.0,0.0,0.0,0.0,0.0
5.651,0.0,0.0,0.0,0.0,0.0,0.0
5.672,-0.1,0.0,0.0,0.0,0.0,0.0
5.719,-0.1,-0.1,0.0,0.0,0.0,0.0
5.74,-0.1,-0.1,0.0,0.0,0.0,0.0
5.761,-0.1,-0.1,0.0,0.0,0.0,0.0
5.782,0.0,-0.1,0.0,0.0,0.0,0.0
5.813,0.0,-0.1,0.0,0.0,0.0,0.0
5.834,0.0,0.0,0.0,0.0,0.0,0.0
5.855,0.0,0.0,0.0,0.0,0.0,0.0
5.876,0.0,0.0,0.0,0.0,0.0,0.0
5.898,0.0,0.0,0.0,0.0,0.0,0.0
5.934,0.0,0.0,0.0,0.0,0.0,0.0
5.955,0.0,0.0,0.0,0.0,0.0,0.0
5.976,0.0,0.0,0.0,0.0,0.0,0.0
5.997,0.0,0.0,0.0,0.0,0.0,0.0
6.018,0.0,0.0,0.0,0.0,0.0,0.0
6.052,0.0,0.0,0.0,0.0,0.0,0.0
6.073,0.0,0.0,0.0,0.0,0.0,0.0
6.094,0.0,0.0,0.0,0.0,0.0,0.0
6.115,0.0,0.0,0.0,0.0,0.0,0.0
6.136,0.0,0.0,0.0,0.0,0.0,0.0
6.171,0.0,0.0,0.0,0.0,0.0,0.0
6.192,0.0,0.0,0.0,0.0,0.0,0.0
6.213,0.0,0.0,0.0,0.0,0.0,0.0
6.234,0.0,0.0,0.0,0.0,0.0,0.0
6.255,0.0,0.0,0.0,0.0,0.0,0.0
6.289,0.0,0.0,0.0,0.0,0.0,0.0
6.31,0.0,0.0,0.0,0.0,0.0,0.0
6.331,0.0,0.0,0.0,0.0,0.0,0.0
6.352,0.0,0.0,0.0,0.0,0.0,0.0
6.373,0.0,0.0,0.0,0.0,0.0,0.0
6.407,0.0,0.0,0.0,0.0,0.0,0.0
6.428,0.0,0.0,0.0,0.0,0.0,0.0
6.45,0.0,0.0,0.0,0.0,0.0,0.0
6.471,0.0,0.0,0.0,0.0,0.0,0.0
6.492,0.0,0.0,0.0,0.0,0.0,0.0
6.526,0.0,0.0,0.0,0.0,0.0,0.0
6.547,0.0,0.0,0.0,0.0,0.0,0.0
6.568,0.0,0.0,0.0,0.0,0.0,0.0
6.589,0.0,0.0,0.0,0.0,0.0,0.0
6.61,0.0,0.0,0.0,0.0,0.0,0.0
6.644,0.0,0.0,0.0,0.0,0.0,0.0
6.665,0.0,0.0,0.0,0.0,0.0,0.0
6.686,0.0,0.0,0.0,0.0,0.0,0.0
6.707,0.0,0.0,0.0,0.0,0.0,0.0
6.728,0.0,0.0,0.0,0.0,0.0,0.0
6.763,0.0,0.0,0.0,0.0,0.0,0.0
6.784,0.0,0.0,0.0,0.0,0.0,0.0
6.805,0.0,0.0,0.0,0.0,0.0,0.0
6.826,0.0,0.0,0.0,0.0,0.0,0.0
6.847,0.0,0.0,0.0,0.0,0.0,0.0
6.882,0.0,0.0,0.0,0.0,0.0,0.0
6.903,0.0,0.0,0.0,0.0,0.0,0.0
6.924,0.0,0.0,0.0,0.0,0.0,0.0
6.945,0.0,0.0,0.0,0.0,0.0,0.0
6.966,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0
7.021,0.0,0.0,0.0,0.0,0.0,0.0
7.042,0.0,0.0,0.0,0.0,0.0,0.0
7.063,0.0,0.0,0.0,0.0,0.0,0.0
7.084,0.0,0.0,0.0,0.0,0.0,0.0
7.119,0.0,0.0,0.0,0.0,0.0,0.0
7.14,0.0,0.0,0.0,0.0,0.0,0.0
7.161,0.0,0.0,0.0,0.0,0.0,0.0
7.182,0.0,0.0,0.0,0.0,0.0,0.0
7.203,0.0,0.0,0.0,0.0,0.0,0.0
7.237,0.0,0.0,0.0,0.0,0.0,0.0
7.258,0.0,0.0,0.0,0.0,0.0,0.0
7.279,0.0,0.0,0.0,0.0,0.0,0.0
7.3,0.0,0.0,0.0,0.0,0.0,0.0
7.321,0.0,0.0,0.0,0.0,0.0,0.0
7.357,0.0,0.0,0.0,0.0,0.0,0.0
7.378,0.0,0.0,0.0,0.0,0.0,0.0
7.399,0.0,0.0,0.0,0.0,0.0,0.0
7.42,0.0,0.0,0.0,0.0,0.0,0.0
7.441,0.0,0.0,0.0,0.0,0.0,0.0
7.475,0.0,0.0,0.0,0.0,0.0,0.0
7.496,0.0,0.0,0.0,0.0,0.0,0.0
7.517,0.0,0.0,0.0,0.0,0.0,0.0
7.538,0.0,0.0,0.0,0.0,0.0,0.0
